id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7je3KITtUpnC802BGLwcy36xy5IKL1uXaWqr0-xviwuZEmXt4cd9DIlh8UwWAeIAPOqqGkOfw5blEKzEMTR6KUhz6Tj5HbO0BSNgr1bShTVrrgs=,@MacaeEvaristo Nossa Batoré tinha razão kkkkkkk o bicha feia Meu Deus,gAAAAABj7je3Xm34XXXCqWGY00tU-5Xg7ORzxgTmcqiV4FOCUG1bwqR16q5b4Hdif6v-oXtnOxsPAd5PUFRKbuJDMegjx9lbIvdVOZ89Bteqcv7ZhwBuhxvCT7QjjOp1Jx5xIPJ4UAMHyQBfKIvjRuS-0bnDFBXLybZmNkJXciIDq5ImEawv3Qk=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3VHhb9W1qNcF8dK6uolXiiPDOoC7gqjj3ofC0nTEz9oNBRDn3FaLN35pvTLqS-Aq4PZmu8L8isScRY_MWwplSThkXLCVGgOtLKMecsurTTI4=,@majorfabianadep @jairbolsonaro Vagabundo cachaceiro... ladrão e canalha !!! Vai pros Quintos seu diabo 😈🤮🤮🤮🤮🤮🤮,gAAAAABj7je3MjygvaGUG0bBZDwpgYtvtvHs7IDOOaelrpVPTSOSbXhwU-GOGWRZJDYHQGerNgLpmVCcanu3pTbh3b3Ye5YB4mJ4DODsGxPaCt0rjrKttie4jYEBLgYfE10gF10_n6xQ_KN2vh3gzSKYCcC_QnriKxXaKLHYjr783QcK6zp3Th0=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3iouEDZijKan_uztIiy_xtrbGfwvUVitC2WaPkev657fd57c2WcYu9PUgY-3Jzzx6s6T_YQYSsleObk92gEvTFwwX0GTJFGVRFtYKVEgK0b0=,@VaiPaolla Fascista teu cool,gAAAAABj7je3oSIKFmXW25lN2AdQRq_Zy7LdfF_Aize-Y1Bpv0ULNDPnyy9DwoLMVtC4IeXn9qaB0d6bpQ0lxV5_MuDX3E-ghUHs-CgGSegS-elNOnbyH8e7tuqOZgcWnHXbLMwcwxdytWPa7n7xgxxSm6b2KQdSfp8Yv1BnlBbdOb55EVI2j_k=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3UtAKenPcMY7hlWag-W46rUaoLDBUPK4MMH35LcLmnDjDAItwXv9cwip6hxhaYzFu0hhdvNpc5aEpR7FS2ExuAvG0uPrOd6XnbjqOxDz8Hdk=,@gleisi O CHORO É LIVRE E O POVO BRASILEIRO TAMBÉM..OS APOSENTADOS QUE O DIGAM🇧🇷💪🇧🇷,gAAAAABj7je37yzlKqJBM8dVEkKu1yZ6WiYsT_RSU96l5Z718s0RcIugeUkc2FLdkvyNwp9sLsm3UJsp8TPb-yvJK1xsMeCkHyPrNqVEEOIzirrxmekbpxbwISVwd0hKO__g3i30jQWjI2RHKTbOEDo3DQRyL7OItujfCP-XWYCVlqTKm6OfyUw=,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je318F_IDd45hCL-Q5QA1A0XcX4ef9JRFUN2kwjIyDMK5YY_MnBr4IWiy5eAy4DG5AIFzj0KWDZ3Cjyy-73Qr8bAel9AsHqjczw2oyN-2MlFJ4=,"@CarinaBelome Campanha tá magra, mas vc tá  gordinha.",gAAAAABj7je3FeBWLrYaIOFyVCwitrnv1h2Wd1nQ2crDI0Ok71kFsQ4BPYaYjjy-lLOzwZGPL4UrdBlR_Ty4WSL4gKttLIwNlKO7VF_vPichskikJ1fCm7fxlRe_6AufMj2_cFYnVBVLOautAgQDB03dRHpqD4poOA==,1,1,0,1,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je33ydZ8M5Q5n9rnXP7PzF70Io56K2SijmuE1rT6Tw8NToD9IXwK-Kr3byyMrRgG5ImsxW9BP43wS-eimIZRIHt1sYNab8ThlDO-Iztw_d_wzA=,@mariamarighella @d_assiis @lorenabaterista @pizzariapremier @gleidedavis Tô contigo! 🤝🏼,gAAAAABj7je3Vy_6M60gDbg3UXPRtHG2AQmCi5XnRaYxlw3DJQyNsOjFmFH3nKYZ_RehD0jddL1IbYY5Op4xTUCBcs-BJgtqCiwGZ_QqqVjzcm0Rz0O7iSURsmVwbGjd3RuYGqv8rrtRHZ4cVqlYX-C7Xea_APMqI-ITDYpynVxVsRcrmRKzyKY=,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3LCMcch5n3NG_Ykz59J88bF_WsDFq9KIOEzLW7jsfpCL4Hec47_lXm8GEB0aZzW20v6c1tZ5kFVEkWVrJ1rSCjiGRi24OmQjOrIzFdkemQqM=,@joicehasselmann Sai pra lá sua oportunista traíra e despeitada!,gAAAAABj7je35hr9jPXNYNq0VKFLPLLGTak7Sh0gXSfNNQk_HeAmiE1_GJHvF4H52cu8vFIsU6EUOUliYe_Q4KbZIZSUSs-Ys7tGUBUW6HxjJBijY4UevSSVB4hk22PlNkMVKUADmji6DeZndOIduGlC8Pr-Gmb4mw==,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je337ZojAPH9rzsVOL4pKMHCKoRXnAN2hG5VtHQaZqVgJiUV3YZYobXKhF-hsN6znDMM46tLzdn1d7tK82UtvxNuxlEjLrYjtF2Nszjw7whn_E=,@jessicamichels @CentralEleicoes Vai se ferrar idiota,gAAAAABj7je3clXh2vGFGAcVAIro_gfddOdDhM5ETBIZOWYzswMthIwBOZ80zhY_-6FB0qY5Rsvgl9ve8m5pc7cmXRW48iDuxxsxzWM9VXb3ybE109WalN4L9gc5s0grSleTtxxVyBI0yiP7qCBH1H24dW4ZTr2elg==,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3IQyyp3f0tcpqEbNPWp-Tv7ONXBetTUy_mdhLBkDUG0EveIKS5etTmv-l4WlPrN2s5D3-mj2yESGFlvIiIcj1zS5WwPPuwO1UZb9XUA6uP3E=,"@tabataamaralsp garota, vc apoia um ex presidiário condenado por corrupção , vc não tem moral pra falar de ninguém sua piralha. Fora Bolsopetismo",gAAAAABj7je3ZOgU_4MieahH_JFiVUIkOIy3W496gjO1d1TmZjKpABn2c9CDdSitmS3Ko72vj2O0wWfVmrUur9BqXpWw9vLmZq0HFwGZolU-PGDINHs_XCiN57dS5oBJrLHPlWvFyVs-d-J_1zFCyBMtpIZ04-J5EYkuQmN9hPIlXZoej1fe_xU=,1,1,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
gAAAAABj7je3bFQgSN_cMmH1IElHmI32Y6wR1xGL7T46IrQD5D_gXRMuEsbpl9rJKPrFHplA7NFBg8Sy80qBly6NFmN01p_CvFeTLV3iHO-TmiRjwn_b4Kk=,@CarinaBelome Esse povo é safado até o ultimo,gAAAAABj7je3OYtTPQBGTxcCTydo50tL22fSmOckkoH6ny9ETj5M4Fsk32NAUeZMcx7INnlv2acqnlyzcC5Ke22cxdQ8npkwCQCGQtJbLVF2mVFNeoWflEFRLOi5bSctEDM1s8qBvRDHcQMnHXtWLecxGflKIJsMmg==,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_mulheres_A05.csv
