label,text
0,@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.
0,"@_carmeloneto 
Os 'cumpanhero' quebraram todas as regras."
0,@_GlitteryKisses é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos
0,@_Ioen imagino...  ow mandei fazer um body opressor pra Duda! hahahaha
0,@_Ioen parabéns brou! Menina é bom demais!
0,"@_Ioen PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM."
0,"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs."
0,@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!
0,"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó"
0,"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!"
0,"@_jujuba_lima SOu nada, faço o básico hahaha"
0,"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos..."
0,"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?"
0,"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP..."
0,@_latinlover_ cedemos ao encanto e caímos de boca meu caro!
1,@_NandaSilva_ bom dia sapatao da minha vida
0,@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33
1,"@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem"
0,@_TheEarlyBird @JOAQUINVOLTOU e que tal uma linha de bonés??  https://t.co/iHrd5qTIH6
0,[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE
0,[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. https://t.co/xLvxIyGJ8I
0,"[FUTEBOL]
Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo https://t.co/7JnhURaOPd"
1,"18:40] Max: Vai tomar no teu cu então
18:40] Max: Sua gorda feia
18:40] Max  :Meu amor por você
18:41] Leticia: Eu sou gorda Maxwell?"
0,Ê lá em casa https://t.co/rAHYwfvkAx
1,@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...
0,aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir
0,"A afronta aos portugueses não pára!
https://t.co/mGEV4CjFRP#RenovarPortugal #PNR #Portugal #Imigração https://t.co/26j98jdIYH"
0,A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para... https://t.co/DleQjLxvym
0,"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.
O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas"
0,"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ https://t.co/cyd14kyXY0"
1,A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _ https://t.co/b3WqRv4cww
0,A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd
0,"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero."
0,Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco https://t.co/q2WbjEvwap
0,Abismo da desigualdade e injustiça. @jpintocoelho60 https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal
0,"A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas."
0,Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H
1,"abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela"
0,@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí)
1,A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir
0,"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:
Pedro Gonga: Já Estou em Liberdade, mas não foi... https://t.co/fkAShQaBVa"
0,"Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':
11 Fev -  Covilhã.
Bilhetes aqui:
https://t.co/NeiqhncuJp"
0,"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM"
0,"Acabei de comemorar o dia Internacional da Mulher... lavando a louça!
#DiadaMulher"
0,Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV
0,"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'"
0,Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional. https://t.co/iEsaOS0yfG
0,A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ
0,"A campanha continua...#EducacaoSemIdeologiaDeGenero.
https://t.co/O6DVICQISp .Acesse e adquira dois livros de... https://t.co/0BvDHJMUm7"
1,A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17
0,"Acções do #PNR #Oeiras e #Cascais
https://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR"
0,"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral."
0,"ACEITE OS CHIFRES
#JoaquinResponde https://t.co/2wOKNG11RS"
0,"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!
https://t.co/fdEjtgOx1P"
0,Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _ https://t.co/QwuTyA0KWB
0,achei essa pagina https://t.co/yoVjMs2Zz0
0,"Achei um cabelo branco, sinto que os anos de tintura estão chegando."
0,acho engraçado que vcs falam mal do Ustra mas idolatram Che
0,"Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'
#Oscars"
0,Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher
1,"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc"
0,Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando
0,Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó.... https://t.co/gt6t4iRyYv
0,"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio..."
1,acho que a Simone depende mais do natal pra sobreviver que o Papai Noel
0,Acho que a veja aceitou que realmente não faz jornalismo https://t.co/x6gmv70CuS
0,"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta"
0,acho que nem vou gozar mais até #ESeFosseConsigo
0,acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo
0,Acho que tatuagem colorida só fica bonito em gente muito branca!!!
0,Acho que vou... ai que preguiça de dormir... xerus!
0,Acho que vou pegar carona com a @agdabritto e mimir
0,"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _ https://t.co/c3bWKt8lEx"
0,"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _ https://t.co/dPMZ8ppmrP"
0,"A @cidade e a @sicradical são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _ https://t.co/DlkMFBCSk3"
0,"Acima de tudo, uma vitória esmagadora da classe https://t.co/s9lvC87ILS"
0,"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)"
1,A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb
0,A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber... https://t.co/8h6HFv3dIj
0,"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País. https://t.co/9ge0LwyJZg"
0,Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus. https://t.co/PqDNEmYu1J
0,"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv"
0,Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk
0,a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma
0,A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8
0,A culpa é de não ter tirado antes
