id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)","Comentário é capacitista?
(1=sim, 0=não)","Comentário é de intolerância religiosa?
(1=sim, 0=não)","Por ideologia política?
(1=sim, 0=não)","É contra outro político?
(1=sim, 0=não)",Contra quem?,"É para defender outro político?
(1=sim, 0=não)",Defender quem?,"É praticado por político?
(1=sim, 0=não)","Parece ser perfil fake?
(1=sim, 0=não)",filename
gAAAAABj7je3Dz87rYtfMdDuIF_kPI30vs0HCZY5tkqXa_Z3tFa354v_-qZWQHWpn01-y0_pIgyWxRlNU3oMih6WjiO5dHUiit0anp0gIVJPTxFK28XuMMw=,@AriadnaArantes @geraldoalckmin Até parece e6uma iludida mesmo kkkk,gAAAAABj7je3dVQ9GLLcS3LCQsrWUcjCVKZrGW-2t166MpiJeRMpz1NEBSnvtFedeBHaIaju1Fp01dlw4tHb9uI3lKf6P750_eFItgNS2afv01EOLlVrdARmrPt3ITaqUbIWVaAmxOx7rIVQulEKUhLxRb5k9Y2kzA==,1,1,1,1,1,0,0,0,1,Geraldo Alckmin,0,-,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3XJvLpXveCcT_oO8z-cqf-zgo1GnO3uzNmM2FmORjxU1DuWHuE3xH5VGHMe3i6nJ6b38Z_PKb8Z35lUTGsfRH6zAwRkdyoqRds3XkHl3nC-g=,@AriadnaArantes @jairbolsonaro Lixo é esse cachaceiro,gAAAAABj7je3yalNsN5RhPfRcGPZAIbN2dfNDzwBxB-asJh4FzN_fR0P61LvpPgizDQRIpS5z2z5lo5qinB2Jrnl-44YztSU_eUluZxAuhK7KvvpBv3a-65w47rHNZdTAhmfERemZC1NIr0NVYOH_QCf4FIiZ_TkTnA2x6kS0YWwyK7oHWnrQKs=,1,0,0,0,0,0,0,0,1,Lula,1,Bolsonaro,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3UCBtbBg7iUIcW6c-UwIx2btHAlN7aDK3C9YSFzW1fn-eCvQyRuMlaF70XT6RJ6r7Nav2Vls6lGhHU3f2vUF1vM75qKJLhybxi3HI9YRsWHc=,@AriadnaArantes @jairbolsonaro Nem São Longuinho acha!,gAAAAABj7je3rr45CGfIlZvz_EpLyWHlcnDYiF61BXp_vdSAFjpglc-alWH1GEgamAYXznxDodbTIAm9ninEIn--G5tvNNm2FYQur3CoLZxByHIm1-VYQyhYmld_MXR-fDumb5Hel40c53ZY2KrRae1vPauPAvjR1w==,0,0,0,0,0,0,0,0,1,Bolsonaro,0,-,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3CxMxhnePnz7Lv8igF7EOscDxRwANAeK8nqR1P_dNKs9lr30zKkfHZJbAI6DAKqyvNULbAtA_gEfWZ3uTxTZxvRMQzO2psCqJXIQugkOIOvo=,@AriadnaArantes @jairbolsonaro O debate é DELAS! ❤️👏,gAAAAABj7je39rwtThQATBifQ4PL0t_6Bh6GJXQiCFIdhOwOFcl-BUxNAst2PTK9ED3oyIVkz24lqJ81oYSaO3LHzY7BlotdNlfva34RBUbZ0FgSUJZ96c1GGddq_LQTx8UTYwbS4HYlPy1cKW8iYjlH7HHHE5TGEsfvBhgE7oBYVY5UNJAg7SA=,0,0,0,0,0,0,0,0,1,Bolsonaro,1,Simone Tebet,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je30cWVC0lteT24xFitKJLIsfmgjEr3AwskFZjqXG5-ZVL0RMGq0kqeTSYFsAVO6TE7lTRhbYkvTLrs4mAays_YyCFQa9ouY0NEON3d49t8uGk=,@AriadnaArantes @jairbolsonaro Oferece o que vc já toma pois vc tá acostumado ficar com esse bumbum guloso a disposição das hemorróidas,gAAAAABj7je3D84x6JXgMuQcoy0mVmTc4sX-Yjues-l7es4Pt7IabR2BNg-BabhI85_J6nv2i_RNSD9frjPNBOjmXn0RVHjLAwU7dPu1bDdE_3Cn4bhWG55QxUo6tehE9dJhE4nVz1TOLRe9FrKcYqk-HJBrTG2sOw==,1,1,0,0,1,0,0,0,0,-,1,Bolsonaro,-,-,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3jaHPV2gaSpJzLNNTGTsrN-6tHiVc5Aw7oZC6QqLphM6T0rd4_nYFGBJIFq_RM6TBOFqSNgv1i6H2BNrB_swI1BWDb7wgXovbd24s3RJndfY=,@AriadnaArantes @LulaOficial @geraldoalckmin Um saqueou o Brasil o outro as merenda das escolas de são Paulo kkkkkkkkk cuidado hein anda de bijuterias e sem carteira e celular perto desses caras,gAAAAABj7je3-ZoZa8A3afQSdOC8NiwGKjWbkNeY2VzsrPBIQpTPp6wTxLRwHdtbMjAK2U7w-EIl9gQK6phVOqFCb65rM0h2zCITok-S8Ve__m4nT4vErHFekuG6atzeote08QQaavn_Szj_EHFzeEaGXXZ0Be4aPw==,1,0,0,0,0,0,0,0,1,Lula; Geraldo Alckmin,0,-,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3Lqtzk1BaIdAb2JTmAk5qni4bl7BRMhIkFONRyqHhrMQLY-nrkPBT-tecV8Nj5mSmUMjZOJsQg8UQv30vBM_tTNDIvnMvH3BqYSy9Sab0ABE=,@AriadnaArantes @LulaOficial E desde quando ladrão sai pra rua amigão ta de deboche só pode,gAAAAABj7je3fBTJ8XWdmkCM2G6RM2ATg--N9vP7cZkd9qplC4dYdvyBiW3EBbDkSgznGG4xNIiMbF8V0cHl29z-eUZgOstpYhBVsJEFUSZ-3B4htmHkx2XGt6iT1wWGOi2aAffXyHMSSPgsBGPA_9z6EULO5GopoQ==,1,1,0,0,1,0,0,0,1,Lula,0,-,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je301jLtG_uaqvDDXUIQxA_MA0VpeNbd2bIKTMSwlAr9yxwKxJCZexkY3brm72m1-V5xjFQ-QbjNOD_UZU8GY5UeMrQI9PVTRVYd00pMTOpa0A=,@AriadnaArantes @LulaOficial Gata! ❤️⭐,gAAAAABj7je3Caf4Pu0999pW1DBGhgNex0Gz6Sz7hetry36ivnHBTx6a_Bi3Gu6gwzF1ikkR7bfnteILxBUEjRMDnu0f-VpKBn042Joy6A08orVTspvgi05Bw_oP7MPN5wo4nDCTjqPG0c1mExPwsJlZ4123cjCqRg==,0,1,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3xkygcrVXyFkcK6qEbuk5_7jvIYNGbGR9ML8GH6P63H_5Ibt5cIaSyJNnGNWpMNjqHyv8ZEayKcaIiI2cYYe1iz0mixHqxGi73uArjcW3S6g=,@AriadnaArantes @LulaOficial kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk(estude),gAAAAABj7je3KmTT0w-DPYBGGM_Fs2LgtDQTsS25uRFiXu7wlyukFo8WSKm7gSfcsr-lGtnvAILyZ72Uo8NGuR9Tbv5jCTAh0mgl3PkOt43vX3pMZ5z0b8LyHJMO0jbAuiesZ7s1aknop1LMyfkIOgzvylFBf1A5uA==,1,1,1,1,1,0,0,0,1,Lula,0,-,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je36WFEASLrlQV1BY0b7Tn-LdbBIS81_2pNY3rGyci_lxAWjNrbwM1jgQLoHs7daf70GP4y-VDLoy3Qdg4Ya1vxhtzEIrmeyc4JyAXjsfnSUZs=,@AriadnaArantes @LulaOficial Pra cima deles mana!,gAAAAABj7je3Dd0fxIm8lDGXlaPLo3WybHyJJcaRgl34_VMHt6d8Rk_HsggRk8ZNyz0VrIj3dopsWGEWaNJBLH_Y8jyRpHFnQnBctk0MR-dT4D7agBCYca5phKWND-Ds1lX_biB5EF0R1G5AGI7auqv2Q52sxdtv4dwDHaF4OfoHVz_RgK5Bcdo=,0,1,0,0,0,0,0,0,-,,-,,-,-,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
