id,text,tweet_url,n_prob_bin,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista/machista/LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7UmKD5G0Pw0qKJH7FSZ_j1d_MzmV7GOB5CBxjrwQVobWUUEBrZQP5GDfP61-I1Q0DUO7Zi9MO7o86P2ESzC5Wu_aUSVQM1lEKhIX02X4WPw12dk=,@VaiPaolla E o cara com tatuagem do Lula que matou mulher e filha? Esquerdismo e feminismo são 2 doenças que devem ser estirpadas da nossa sociedade. DOENTE!,gAAAAABj7UmKyUAIQUstgoR0YihZvlrk-2IAG82w-lw0jvxtEuDww9hLt_De5WX9Z8rRGCyOh1EeC2SnGy0IqjHf8b0OPrRkbqZ0FM4h9bxKa9NSKPpouXFlNj0oB-7TW-d2ZVquV7rCwM1k1UKF6MsBMuq3JD_arg==,147,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKYgRmJZeoCjHcv7_vXeT19w_BjROhhn9fTpW7jpCuYVhcCSDPul-X6mq5XfJhQ7CZD51utbDsf_pjgjtCz8Y6dXUjhU27Z9LCxFaObXoEXyA=,@AriadnaArantes @jairbolsonaro Oferece o que vc já toma pois vc tá acostumado ficar com esse bumbum guloso a disposição das hemorróidas,gAAAAABj7UmKkilXAmyPUMg9JwKxEnstnxewxeijX50xTAZ7qGONSj1QMnvquCsT7Js_PEd3B49O9nFGTPKKTNraUpVWnpRShPWVnc_Xd_l8MqpTniMHvt1rTGmmlPT1AY2k--oLqrnQST4seLzJlO3AbzCUgsxIBQ==,39,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKApJrKYbsOO2mRG2JKmHi-Ab-qztitAbG_aAU6eI5vThmSuJccMMB4MSAyeT4Qee4TDABAKK48I6KNV-N7XK2Claz34GoZZ2GAftDN4ZKJfk=,"@BennyBriolly @LulaOficial Capacho de bandido tem mais é q se fooder mesmo

Vai la lamber o rabo vai dog obediente",gAAAAABj7UmKvBDgATxwGJYmMJhm8KsaYSgyOB3Rj1iONnbAr7DQj5MiMM7fnrVYNC5higvTyBTEGDXbiTO22uNGHhJjWWP6brc_sOV6EAtEdmJJsTE7Ksi5i_eJykHDZMUgNTIut0478ZavVB1AFFF0EZIUAO1G6jyte82EDuV2zzj9zBUSyVM=,39,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKL2ySARphxjoMsvL2kDSa36bc2RR1m35ziR5XrGQ9ui8N1aBeTGOJQexbsMJJ8nr_oZQ7bOM-PizI8Nq4HVpTT81MFBRseI0KKwlD-z2BveI=,@castelllovini puta merda 🤢,gAAAAABj7UmKNKWTfj8OtBFVk4BQd_-LOUX5xKc5s3gpw19ApIgodKTukAjKZer2rC4FcVbBZEPhjNxlsuwFOVIzTLyxTQ-uIDuioilrcBN8OCwfabSkKKBlvfgZOYgLv5g8PtsEGZBFh4aq6RtJ0fgCeUWMUS7VNA==,22,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKjrKOu1p9Q3vRofRx4qEjShmZaN5hudXMFw91bKBSHPwHQTO_jBHQk6v7LL_rLwYynj3mzcmnUC8dF3jChciAC0v0S9Af96aN6FQswxCgsQA=,@dudahidalgo13 Gostosa,gAAAAABj7UmK64hWDa2Nk-BJ6pLaXMMT66WAEC-YaW6RumcbE9JdiqqkJZfDN_MTdNVANi1v3my_n9fwsIQkdaBvbqymigF5ONhp6m3SB3lN5T3r2_UFlNYn_1zA6t4D9SYKlHlBF5c8d9LqVsC6PVqzZ-r0hjI8biAIvfJrl6eDC5rSaOqaaUk=,4,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKIRVFhiICnmvWFlrrxmh94ol6VxnSKY5Hd6chSVafNSsBBBcmWdShqvbtZ9VhEgeYtszu4-3J_cngF6pkO68TPafwi-yj7K10nQ2F7qPAoWk=,@mariamarighella Rasteira nesse pombo sujo,gAAAAABj7UmKm3JbqnMz1PiEF5Wi6_T55gZzzPt2_7nFm0i7UPAX_xaGTf7sHdQWn6OD-lp0jlMaWCSk4WOR2fVFdlR5RJU1kZ6Ok1hiALfp7oWcXJ-HvAzvcztDS9O4kg-4CZwuh5BHjTRW9qQ2VUeSpfshN-JhnQ==,39,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmK7w5XNrVqVHrBq6eNKK76T7E1lv6M7VAbSnjYlBYSvLaiUYzv9lKPfmpVUmKKLh03z1DmwMSBAUR01dUP9chWq_Okw2BoU198yP_ks7HosKw=,@castelllovini @scaluniaa Gostosas com Vini!!!!!,gAAAAABj7UmKPyt_8HPyiI4kxLH_ZO6WgAmawlWLm0sA2QzZXGYeu6T-iltkxA76pASZbxGOD7PQk-6crPwcYSCTa0BBzfIBX4GGHqWHP1oOF_Y7X0M5Wo0sZipOaFgmv0NcyYIkcsHz72uv7dqM_ZN3PO4k3JwtBkKfIOK0zRRuHQROdCF4Snc=,22,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKrGIttyO9ZSJ0_8GHMfGn0X5djwgvlMFOw2Vfe8_PUFjTkNVrEC4iv859CvEDqhg1ekvcrqvIs10Zc5yBvw-qGA3zPJeO_RTaFv01UFCgFIA=,@PabloAiresRN Pica ta,gAAAAABj7UmKPiowDUhztsPHn6iA3wriBtNaL3beJk6AciKy-iWIb9Ja8MBfjDUVQZe-Fhl55dqgmxbHdlnq-z3pB0XCeUy76vMq_74QrRYK9OHxKxyhGPEVf6aJL6SpkG3PXlhczLdhRHDEuF6ZyAojGCmDtjn7fw==,34,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKZQ_0sFXJ7odN2mY_8dNmqUVseLCRbmTRSV99uAzwoJw-VD1RiwjO-qwMd-r5dWUCC3bhMr1q2IUu9oywmoEBnuay4z5MPRtkD724Fu5NOHk=,@Izalourenca Um bosta,gAAAAABj7UmKIVK4jOBlY5o92eOpGQQMMUaHQZkGwPfkLnM5tJdU0V-CWEkFpYNDjZPI9jzhaGrj1-2XJ587c5gbX6uHuNmtwuhS9wK_rIAIBzKvptV23pXGEHAmLIKto7cCwjaCVzRbqPJ2GkvjEu8i3cIFxAtqEg==,4,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
gAAAAABj7UmKE0jcheGFzjbAqrjWpaLxltR3sjTB_PNldFa_pQ2-0kgmskymezY6_qTCBYRH0fr_Atf0QQ2x0qyg9dHDf7BPvScwdXQZ-1KtAdP6cL25wDU=,"tem seborreia a calvície dele para na bunda ...🙄🙄e quer vir falar da nossa deusa rainha melhor de todas a mais bonita cheirosa carinhosa talentosa gostosa de fracasso,e por causa disso que eu deixe-o todos os fãs da ariana xingar ele.
@AriadnaArantes",gAAAAABj7UmKg7noXyAilThMxj4ijZ5THDVI4ZadzqTcdNoJu2l-_pf72PudXT05wrIlrZlx0YcRSrZIUZFBH5UsjcSJTMhUKPBJuvMfIyJcBJSaua4mgIZTUxgCCmIvh0DfeDdg_UcJRBxhFHX4YBaIPP6CeYe5Kw==,39,,,,../dados/processados/amostra_tweets_para_anotacao_lgbts.csv
