id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7je3i3sQjwqjUy1CxPWRaN7RUblyUaUohyHyMVGq9Vnm-B3yu4T-EtCDck0cDy-f1jTSYNw_HMKPsSS1rkG3TLbuwxfcxbnT2ik8mtcdZbispUw=,@VaiPaolla E o cara com tatuagem do Lula que matou mulher e filha? Esquerdismo e feminismo são 2 doenças que devem ser estirpadas da nossa sociedade. DOENTE!,gAAAAABj7je33cil9_RGR3zCOYUTW4t0_ReJMcxmJLD7f36yHlOh2gd6KT1ELhRGtR1qR3DvAdxTLZHUeIP2vuK_r6Hnvc6ap58i_peXtUwOh-3Zkn_X9RzPjpKY3243UcMzdW3QeGHLgb6k1C0-HddgfQzEGxdrdg==,1,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je37Cr4Gwq7puCOAB0xKpDvI7B_xjSxPvJKaZhPjjJywuHjzjJdUQSkrTJgj38SQ9rSlS58Mc7QNKn2LqPe06FgdyoFPweioxvVEPnoQHP0xWc=,@AriadnaArantes @jairbolsonaro Oferece o que vc já toma pois vc tá acostumado ficar com esse bumbum guloso a disposição das hemorróidas,gAAAAABj7je3cyNUCrMrVfHtdbMgKRQ6ijxP0WkkyHH3mY0aEJOQTuDLsE4hYaqtb-yNeSqN8KDc0Kc_jpMxZ7RzPRdKmQaBZDcvzGCxa-B_Fq6DIPj4HzAWt8W2qcc42pVn5GwyjClOHFd1vgM4tg9kQgRcB1Bn4w==,1,1,0,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3Oj3ITAxBt5g8Yb0MnWaYR_JtEwQYdUARWxvtw_SbuB2DeaSwCHk5B09pS-q3QBJ7Su8tiiGpb9Gs5BTIihA_u_mDZxy45kvow2p19LSny54=,"@BennyBriolly @LulaOficial Capacho de bandido tem mais é q se fooder mesmo

Vai la lamber o rabo vai dog obediente",gAAAAABj7je3AdrwrQziTQY-HLFixGmPKeEnQ2IjnFtmAiO2Z4D_SbyQ8yyczRUAdSEXVIeSnFiHIC7ZYdtHarBTcvkEBASo1pXOPwcmKVBlqiYXt76RPHo2FdMJImyVr2YnbhqRbMW3Tt5vh73xBtsu04juJwQjOvMUHxyz-_5hf3xN6qihF94=,1,1,0,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3r8z7MqdsiqWzPJ01EO9L1gXrL_OsonR02SXaImvo3joJyokbtMobnwRkglweaxO8-zJ-afIsCaGVfCKHpS5PlXxWUx1ylEVDR4yCXnvaoqM=,@castelllovini puta merda 🤢,gAAAAABj7je3Ks6m2RR7WEZhrfecGZvKrwB4CS5eZuwzhWpKsckey7yRv79vmAtYJtKIf-S1wv3lc9V3PxSLUfCcSNQYTIGq6tmMF2wwz_JUzntTphBb4jIocDMD9uRPDO1WJ2DJfrSr_oOLjCm2w6dHW5rXvexxig==,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3GaZTAJlfGK1l8Ug_lGPLtgwcDj7rUX4bJmo19c74H-lquBKuLONM49jNmgV-FeaSH7ZTRF17iOjSeLrPYu3uSUIc5RdvcaVfdti2ck7JFhQ=,@dudahidalgo13 Gostosa,gAAAAABj7je3XQDWtxyTdRg1aQWMYzYGpwqTx71OQdLWrff3BShM377GIRb-FjcxP1f_en94aXkjbVmBkldCkiLoArgEdp6V27xmeEwkyg9wIBZomCKae76rP6YNJ9irSjPS01JFgOxcFSi1b1PJh8u1GeRiabIqCym3JTNHfyVMBRfe0L3ZbeU=,1,1,0,1,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3zsf1RGykEoCuqp25lM8qF_O21uQx6dmoR6cpmwrSNDkHEUbyzXaTOAqvrQv4Kt_OkpD9W7g_RIuV5MF9389lNP3OvhF_dcFBwFJ1MbYRmXo=,@mariamarighella Rasteira nesse pombo sujo,gAAAAABj7je3AcBed5WyV4TY-65u9tf5YGkDVq2enogs7u5DDdP4bOWpRwf_oniKxoZIdIwi8d9lmYwLp6xXzfc-LQJy9WK4xTU_B2ARrsjvL-C_L6lEqa2lAOe4wiI4y6mb7EhoySX7rey-KGCdeVWMFn-BULn_3A==,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3rZ_5BdfweP_0LVsPyWt6eD0zdyeEzUNnm_Z_GiuJBQUwB59JWFjsGr8HMBO-F17_FsvRWIOm8h8BVuDJB2yiod51Ep3CIlljRiGKTKJkUXo=,@castelllovini @scaluniaa Gostosas com Vini!!!!!,gAAAAABj7je3AMyRyA2Mjrav61mmnvfSb4cMuWAc7rvgAY8V2teu6adA4JLLAaVlb_zHyF-Cexi9gg_z-LN-deGH6d4hcZKddZM6RiJInHLs51jAUD8TAxscmnA6ct4nK3k1DkxKUjYmBSLK9i7aN1uiq3ETSCd-cHJZpxqkmrSQ0KGm6k5R4bM=,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je383qqb8mEZ0Nc5At1Vja0goqTjvR3AQmZtMQVjzvwYF57ojnibveOjY9PjGPsg6ULhc7etfPvK32kYi1aB35PHLev-QdoA-3uIcZLOzhFOhQ=,@PabloAiresRN Pica ta,gAAAAABj7je3EdJ-uIylr9wMsfaJMe7P8jwYBhbRUi_WiMiwmoRQ0EDU-OfEd1hRwZm54SHku8IKGQZWo13bu8gYgQ6wf2RaGlehzy_hPHT3c9eoX0kENtyZfvAVmSnpIMCAgtAxxT8Q5r4qFai9SFVFCYoSnGVuPQ==,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3alfSxbYyw3uOwtym7Ov76cubbN3j8_zOQeIYjmj97KKkVMR0srGFd45qG64T6sjFve0cThmLYTltBaM3BWapCP5MDCK9f-NtIEAt1dX1m3A=,@Izalourenca Um bosta,gAAAAABj7je343gQywCSyS03vVfiw4iBEPmIMXHjLXMV7SsjSJspjs2CCnvR9PeWHtO5lcteXYVbBaOFyBW950Wa-mYriyCHZl3O_hlv8wtDnnPzdDIhyelGxZtfoexQ6W-ILrzbdSdj62HtU46E8HAMOg-orNpA7A==,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
gAAAAABj7je3V2B4NqQwI_jacRr1o4JYC98ly3K51yScL0yofM6DhffTsVIjgdd8nm1EAjsUNSNs7gVTmZcOj8bOMPkTUl3bggVvnhJg6B-7nQheEBSxEDM=,"tem seborreia a calvície dele para na bunda ...🙄🙄e quer vir falar da nossa deusa rainha melhor de todas a mais bonita cheirosa carinhosa talentosa gostosa de fracasso,e por causa disso que eu deixe-o todos os fãs da ariana xingar ele.
@AriadnaArantes",gAAAAABj7je3lGozt7pDUtNSDsEOOEB4z3i6sYtcB-Sx-c4Tzm2h7dp7QzJwB2ZnHKfX-YBW1vAEgjUCM39f-s2zM2Js0XWYcPOB_jMODqhQNkf0KPn6LyHnaKGdwAKbtoNEtDNEdR3xKYFGFIbKj-ArQnK8HN7KlQ==,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A09.csv
