id,text,tweet_url,n_prob_bin,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista/machista/LGBTfóbico?
(1=sim, 0=não)",filename
gAAAAABj7UmKyLUo5UIHv3kzhKm-WbrAv4-dNpSbWaocd5Uunat0B4No8yhQvevGqbx_7tdME_2vLH7sh21VX1-PFmOlTFLKRTGXS2Ac4ocKHSXUhWYMsrE=,"@GMonteiroRJ O Gabriel monteiro n pode comer uma puta de 17 anos
Mas o caetano leproso pode estuprar uma de 13
Blz",gAAAAABj7UmKSx6gK13LO8pASiK_wGeGMKLfNnrRMmfcjnTdF1IxQ0cCx7y_tW4c7ysICNMHAmzcfn7dqZy68uE6_xSJa8hqpMyuXLxK_q40rQyNP6he3qXRT8egfzEXJQZb0llW1RhHgfK9utChmkipPag8ZFNMjw==,280,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKgDLW-05iLwddop5mJITYEjno7533WCzjmvYm9nKgEZreoC85mZJ1w0uinxvNCdEJlFGCOF-MQa2Nd5kjc5jpiXLzpWNEABALLsVNJPbuk0o=,"@camara_sette Monta uma liga só pra vc e seu timinho de merd@ ai do estadinho di queijo 🧀 🙃😅
Essas galinhas já eram,só ganham na trapaça, vai nem pra liberta,kkkk🙃😁😆😅🤣😂",gAAAAABj7UmKsZH7vwzYeoip2lByAUpywTHCs4gIO0BMTQA6wxgejBnkomfkwG5nK4SRobugKk3IeZdHjhCwRd6zvHz8qqRIHDnecebNlB8nUSxEhcS8Mf9zcl8KxwPZCqRqQWeHqBrCGjC4An6a3AHo4ltI2nuLvA==,280,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKWHCaUjo8ECEqvsYKvQRUSZSsOFKpdVeuo1VkgioHhGh2fM2ucysIzogAlQubyGoWoanqAPHptiQEWfNcrSc89WIX6dqagUO4hN7TGDr00-8=,@AriadnaArantes @geraldoalckmin Até parece e6uma iludida mesmo kkkk,gAAAAABj7UmKpnJk5Vk7aa2xlINlMVPCNtDKLxfL5AjFOby-FQtS-Ar1D-93iHkRVEAXxZSNld-s0T_0J-knnTVivwHNEDXOVw6wfnwPcS6HnOaLfGsreYMHpFyNqMe4H4ebslD5i10vScEBMrlDd-s2t8USY-1ADw==,2027,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmK_yXzZTropL-sCAb7-ywR9pA2FwlaBnX1GOWM_xw8ny9p2ZITSMga7sZcSLWSAgcRoISLFvICNzOH-hv0QEAE44bOePw9fyfpvak-0qyQhMc=,@PabloAiresRN o cara já se afirmando como planta kkkkk,gAAAAABj7UmKgjkrW1vlVrzxE79az-Y6Acb93nwPvNV7b2oGPIBHJhEDl-VaBtKaVldm_sCtKKPalilFig1EeN-cSBOexxQDJ1EnZtsFJqn9GfMB3U853RihLrBMvFd81qtx4zEyrepZ7JbpfZkoHeOPQOq1RX14TpNufjkqyLPDcpA0qIdDsek=,3525,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKXv9z7qhaXJUyPDoF1l_CxoUbRBe93gFVKB_sz-6LdL6YFDORWdmjYf4FKcw70Tdm3Kdbz3GsWfLZiauYfw5mEcWXPVC_xU9CeXPh-zUKo60=,@beatrizcaminha @JanjaLula Kkkkkkk. Chupa cana,gAAAAABj7UmKHHsglCjmh3nFePqvoZHDHWpjsgtYtc0i7d9WBD0-8hjhKWTq7oKf4LgEuw79FSWQ-b2YR905hQ8bf0GHt2Ce394JnrArzFuccilAMOn4kAYPyWXthYW9sW8A00UK8dgU6QE36ttviNvfpIcVfMwlMA==,904,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKdWSp_VobS8Bdb87ZHg0wej18ZxRkcQI9Cz15nsPYtBPcOJ6PEUHPVW_lUnB9NAHJ1R1Q9LrylfpfH5oB4Jq1pOl3qXqdLv1kODFt0N_1MdE=,@taliriapetrone um BANDO de vá vag4bundos,gAAAAABj7UmK5go_Kr67b1JVewjMHXZudN5F0f4GIcShtMDm48gXAcNfvSARb_o2qUVWJ5ql6MMIQXLwTz1abRsvggS71LEQwVaAWs18kvnwz_brJiDfILpoFMPQ9fSlR4fODJFHlQ8POaU9v32LKszOtdQg9ej30w==,396,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKlh6zrLIl4OS5GXNlk2fUig9c4EqSswbTl85ll-_-6VR6Q_ZUQqfJgMtPW1daiCS1ug4vULEYaXimfRoxdcdY9PNCHJniC9b4EnGObVceAI8=,@reportersalles @SigaGazetaBR País de bosta,gAAAAABj7UmKS_9-0BL_snAipXLd7uLLAgyrAwdhq_OQc4ewBXZkrK1CnMU9sKRKhDtiudw0yuKXEsyaNQ0iouP-rCzi2r4ZL5lRvnrR6QZARO3VgjXBERk1p-6VlLYOZGPoxUHydP1XJX8XW0m1irc4B3Tl2jtVfrjBStv5SMh_oFuezHsKNNA=,566,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmK3T6Kevysv43l4RueF9JaB0PvQZSPplw_yqagRCfFw50K40pWslTzncQ-MMGcfPCmKjRMfoplpvYE8fehU8g9syvmFlys7PnqC02Q1bn5wCs=,@DaianeMels @lelispatricia Cala a boca aí namoral,gAAAAABj7UmKzG83ZZsEl7jQc0L1RR5oSVnanqWF9Yq0f4SHQ2ZwV5JiZO8ANtQZ-DjqK_64VeYOMhivvKanHOhWGBRlTPcVd13aqcty09QycLYmjwTQ_1c2YkQNnfhnLrrmlbXrptz_gDhY6A62RxS2KK1fReGMXKhPu1dRT4os8esq7hW0gmA=,2027,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKTPGleiNZnzu5CEOdsT9KIgHqROAAW0d2k5n4XOZLtgmbUWmmXQu6UBLKcMMKlbL6HdDvQJ0nDe1lQMh08GSOaG-gxBkaaCGLbiU5ij0nu-U=,@TandaraCaixeta saia da… caixeta!,gAAAAABj7UmKQMktPPR4D7u5hgZeefhSQn8MA6430mj6cDaukfgDNQkETBDvDrccGe02nOAE2koX9AkFoQEk73tt49r1next1AODKIL2TOdEfktx54rsqqpA17GyQx1E5_EuBQ__yi0j10wjyVEdQdgjbzdh1gyhhQ==,2027,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKuYPlKh6m_JIP_H5wYgBxdCjfhk6YwUPelwvnOr6_NaAmsg1ZRh_jbXW8CkxEKlYh113itxrjRjJT6ywOzvV70FoYiOwpyK4xaTv_qndvj1c=,@FernandoHoliday Burro e mal carater,gAAAAABj7UmKQcLtF5ds-J4TmQEvVp3sXXtb8fwcsG-xUf-5r4E_78YGu-mm7q-5O7b5JaEspnWFv22NgnUzS6PNDyqTfJfRlxEJwV1ze1VS9jclC427roVi5PAD7SXDjJG7TcJqIlRNQCHFK8P1S72BR5vZuiOfGBmW65DQA7WniKXeNVE6FEI=,661,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKTMJrbi4V5OOPkGHoQAFwOH76IfRoesuxpUiNkyAg5ANuSThTumaRKjRNQKpxSpB_FZbcwZCOoMc_Jqpfwpf2m-5jFm-oonV1rOpeFdLtrq4=,@jfernandaBrasil É do bando doa pelegos dos lulistas estes dois,gAAAAABj7UmKndZX7TGImSjf61_PLXEAcMe4VK04467JbPbznyxI9QXGSP1n5Yoo47OWIwoUmurp-TSSr2kdclb7lHxXj9-ge3c1iGxluXWbWajaRC7Fq2UxEN5lSW1sA4ULBDkoqjvZRxn3De1zLGMhBCLopb6rTyVFgFJgBLt9bWvIIvPAv-A=,904,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKb7Q0zOARYf4KEgZUuDcXQgPEkI-6XMCKo_cl6avBUUtizgyEu3z8381UuMfkhcL3NWqIwcjcJKE7esWXh8ehnWTHWckeVr_rk4DmJEvbvE4=,@Eunicio teu merda,gAAAAABj7UmKSegTdPQJmLNUFH5QKMeI9rD3NJpKSmFxKI3Eq-euCc_RPoa9ZOUkbFk1BU6Wli_qBdZPlgPqWSRlhqua3evvSylyU7fM_pelGrRY8ZJ7i-ccafn8PMWrcfhHaDvHiJZrmH64g5vAFSxcp3jt5xVu9tknC2_Cez_pJ47GaJp-q-U=,396,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmK8yC4OrlcqldTFb693qTnZKmEMM38x4tdazdlNhqSjvDyg14LHKFngMNljGr0HKpuPx3-G_GExHJgsgzjNaRno1oaa5NUsR9ptya1X7m6X7U=,"@deregomesrio Os ciristas nos comentários ""vcs não entenderam!!! pobre é burro mesmo!!!""",gAAAAABj7UmKi1nx-Y0iw3RDvpDngsAlM3pAO1Fj07fdGshLDoIDASMqIoC7jea8_ZheovgL7mHbaaSNCsOLu167SfqVgUfJTwM3jfJst01WQxmz46TRu6-2q15jlQEEb5ym--xK4Psh2rjpTOi8uqUwh9HhafZl4w==,3525,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKgBF_rD4O7hdvHcWa4vObUUOXxGXi4JGQCOSK9ab8aFdEQhVs5o8nrr-SyiJwE-V5U1fddXIBgGZzF2ruvzd5I84PwbTouexMyx5fcCpLz68=,"@Marilacerdapt Pq o PT não lançou a Luizianne hein? O PDT fez bem em chutar vcs, moralistas de goela igual ao bolsonaristas.",gAAAAABj7UmK10EIboVCEYlaoIENMBMTVWgksZhGiBH184VRDhis5A5TtTB2MKthlKJ-WZj1ubtCfBVNCJ5WrARc93US-Rm3x8eWd8j4y6ji_EPDN6c1F6fvjIF5HOLF-HHUbY6aTROMQHTl9KS5QUgg-1kMrY20qYsLnuZNsez2D7dqz7bSYfo=,1289,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKD0uIhH4zDKue58zkL-dnsXOhd2ER6040tfFAkjO5sEEiakMrxxGiK0jsC5ZQbAKxkpyDg3bS8llpuTxcP-mXfjBeWbzCZVB1vsqz6ysimp0=,"@taliriapetrone Além de feia , é mentirosa",gAAAAABj7UmKnhWm0mcIDg6VIsloFH0pKf9vsud2Y__675QPYZa-KN7rkXV4-XJkhUYdcAsUm1xYHm_gMawfQjQC0yPCJKpW00ky42eIxZg1vGiV59dk2pCpALq1kHeSuFRJXTUtHxcw4FXVaWAIn8EL95LAneaEb_j3vEURp9LZMP4n1LwU-Ko=,396,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKowB29TzR0NB5WfUysFAo3w-M3Pd5m8MQBWnBo55xEXHjZkc7GcFNds3gGITnziXHeFxeZDIMHt34Zqxb6noUKHiz_HWby-773OCkffUHKl4=,@Eunicio Eeeeeee gata,gAAAAABj7UmKBFzwkszvG72pJ0M6jzA6nthxTaKwAUbzD54Ibewer-ZYBfhyj0eE9MuE19mirtIFZrZq_R4Fjo9FFpHYKvCGCvxbNqJlmb1rzV0MlLwgONgMl_37YWvyb9barmGheTLUL9tf8BrB_izxZZfeVikCRA==,566,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
gAAAAABj7UmKWChjdtfAYR1gx02W-UQ_wSHa76mc0sWqt_vIMGqqVyEeAVmw3tklQsO4B7bej0AeJbtIxI3wruILr6GRZ1R_S9169mGSEzLJvWzBAX-tmqs=,@danimontpsol Hipócritas,gAAAAABj7UmK9tmDhIXbpUcDMhEzEDu-OUy4yV_Fee3fM3PnkJbCgCH9Gg8NTGT0JMIj1NZMtOxbtn9LlOn6ByNc71SV_G-ZzVLB0ibRYSvgfH_yLNbQO3hI2er2NZhLcnHTFj6fhPRcv2A5m-e-JRqSv_Dw5laGosjDK242N4-C-_qHwuAF-Bg=,2027,,,,../dados/processados/amostra_tweets_para_anotacao_pessoas_negras.csv
