id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)","Tweet originário foi apagado? (1=sim, 0=não)","Reação a tweet bolsonarista? (1=sim, 0=não)","Tweet de conta suspensa? (1=sim, 0=não)",filename
gAAAAABj7je3EnZ7ag4MT2rWgJeqZD1nsRPuYfwEsn3JExBEu0sjnIxcM5oD3MXVhZVVvTIzHGWLFg-n6gz30snOlZEpJyla1E_gAkO-9HGaHnHl0q1tSl4=,@EdianeMariaMTST o advogado putasso do lado,gAAAAABj7je33-PEb2FEm8dIIcQS_-itKW6Giv6jLywnLo5KHhb5tuEliilxcmanXG5ETTC3TIJJ1y2bLEXnc68enfALBqAiaT9FG1OUTzaM22IUBO71xQvqvTga4aylVDrSJh-6EPbQw7mubqH8heMuVGe7F2aWdg==,0,0,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3Lo_NewHQ7M0HWGBbGYvJ0wzQBCXE7PKUE5QVUYYkg0pcuI14TxjmEIHTCmWHfO-7fe0lcibuoE0ubcnF8tZNuFW0tJFl8a3lOcEMPkX63_A=,@Izalourenca Um bosta,gAAAAABj7je3Hx54zkp4aq34yQsZSgrzTRY6JiGZZUIu9y_pcxZ5Gw9i9MXeco2NkXx4lnc1qBdgKjoiTmGAmOZ8YiCggqFYy0Y0-oYxIfyYywDPa4mimwlsfPQZyKBxiFCS_-mcrOParOyeHx4cy6GN7w7d_XdDiQ==,1,1,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3UfU_YWHRAIusjd0P2Q2YTbXGkuUzAG2ABD5CUUBAUvStokzzdLzU3ITrzEjrnIOuiDIErXCsZEArbxc8iEb4u01_oO45wdYZbPbOwvzpq9w=,@GMonteiroRJ vc gosta de paffoca novinha?,gAAAAABj7je3VhjUOMO_LbHK7eEbOJpEWQK0bR1mssBivTfB8o_nuKdJNhS0HEs1qJma1Z-bisOZ1dl_4lXwNTZVHvhuLrE8WsWovMNszBdwjV4MAHTkvnu12ubu8XeESaDsNOj8O0PfTZzOh2NrV5KQUbcB8FLtiQ==,1,1,0,1,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3R6SUREqS2W9T2O7zeEnw9Xv4sVYmTg-9Td6RUcKbp3IeXkexXeRO9mY_nSMjCrHG0uqLuZ8vA0LVhjV6iSiKA2k2vJSKPBbvSLzpXcEegDM=,"@GabrielRBCO Tudo bitolado, um gado ridículo fundamentalista religioso falso moralista do caralho! Tem mais é que se foder mesmo nessa merda de estado! Puta que pariu!",gAAAAABj7je3BIs8PiHznQiaIVfyiRB8PiqSa8c8t-RB7OQOmXFH-myUZdIS0JC7AdMlB3N5prCM_tez1jaLH10reHeCdrUvZCND6-58JnF8i86f7qpdYaIYwpK8wJD3PzysY_UfD-aVv-IRYKJnCLHtWJvcHdJR8Q==,1,0,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3J6beBsHB_J4dWvGCLnEGK2sbL26A-GchRmu5OFtlIxSS548Bk9aYxLtqN2JGbOnO4AWbPSr8QUuI1lBRhOEcckFLk0DH_iaHlxqpo03_GHs=,@AriadnaArantes @geraldoalckmin Até parece e6uma iludida mesmo kkkk,gAAAAABj7je34esxlYD_q7rH0IjiAmKrb7RzfeTV4Ul5ZyGO-ct3mFMNiXZGm9Uw8uOnEFP1iqPHOauOZXGj2XdR5stdxs0mwh2kWE-tpxvN0jM0g68E9fgShMevG_7Uu9P0SAmWytO7pbFkqVjLWSEZ94Jp45jJDA==,0,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3eYDdt0jHhxRCF0N0344mNPhtfqt0n6rnq6yrpm2i9Oxoz1hDIAo4UhUtP4CWMsQapX4LccqNpekmCWEBpFtfYJsc4NDNxqUoUenc90AQib4=,@CamargoDireita Oportunista safado!,gAAAAABj7je34N6hdMNNpaDJ7AKJ2ji6jG6o6IOO7KPPnQs0wFmz8-h7bKn1u7fOla-W7qJkKyL9uT-XDpYSAbSrkzJOgCMfS-o-Wn1h5DNukzty3vh8YOV14LAZKPhAT_7MI4Oyjrdo2ugVbDEDENLFFXfA5OmlQw==,0,1,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je37C6ElWv189L86eTPPX8DaQoHI-uRkWCgAorjeKUUU5FKHho1GpFjLs9HYc64mrGM7DFeJi0Ex4SnEF-fHgtINv1Og7_FOxTdPy6eTKAb99M=,"@Eunicio Hoje o roseiral tem um infarto 😂😂😂😂😂

✈️🗼",gAAAAABj7je3IbbW8woakXIp5DlA08Ih7GJMnexhQHxFVO7b3Py7yv_bNuO29puoFmt4xjK-XRiml74OpuIzPA9oHxRlQqEBeX2tSF-O9WM3EUjNtNXyNgNqsGtmL2Hf-9daBYf_FwurlcBfruE7AcP31xRMVLlz2g==,0,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je33dMhSLycVoTYRfzcvpG4d-9oYhmk_gpsOPo2-6QF15AJ5IXjqFxFUulK7I0fgEh7nnbKCmCHCZSsk34PiuzVcLhYD8y55sSPPqTp_po9EbE=,"@juliarochasim Puta que o pariu, faz 4 anos que morri. Estou oca, dead inside.",gAAAAABj7je3N_zoVK351-6A4cvPYglouso3Yie6EbWnGD7kYMDJBLQJtMLBHhz_Vl3o3iiiDNnd7nSJ28zFCwapxCHwawRwNqEIwcuOCplPAOMJPYfvIsacorNBr1lYnQ5E7W-D1Y2YH9EQ1tlsDtHW0F77-6mzqCJ3e0Cw-zUMLeEdtdVBlnA=,0,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3tWpdvLOBkIeiG-yuZmgsbkPtbaxQCEXCa5o-Z7gAf_WS0Fh27cXCgKVi_1lAmQ7pQJTYJj5Il7f6bh3-mUiPXmVtm5ZxBuUMyTMso77aFlE=,@TenNascimento Saco de bosta!!!,gAAAAABj7je30mGRAKPiwlrZGOe3uMj7TBaBSDeL2MGRTkiF3Y_kmjFQQ5-1I27uTnW9CUNEdFYf_n5oeuY1QjprmhK7F9LdnPiI-0VWEOUdZebXtWIPlCJXrnQXvZLi5WxPBEInhutQ9Jd2HFxtFgUxgRfItYtdcw==,1,1,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je33hP-iZ2xTZJMxs1e634TXGMDFRbWNz17yDnhZdRKoczubwG_Tca3wHUypm_pbjAfaYpX5b_Fi5F0sKcr49qN69qlJb5_P1OALuiE8eq6y0Q=,@marcoswesleymw @LRobertoBarroso é um canalha,gAAAAABj7je3bjm-Z0STXzRdUbaNcI6Al8nKAQB799woD05ktz1JrIGJdr8VskFi2mhFPRyvGC67vNfplxjvvP6U00Jh-gaaQyvSGuQngBzlHgTNhVd55qXYlAXkBrBxzk7aj-25dZz413wkoRk4zd_WtHo3NEb9a0k4bHc89vVl4cz3x8Im830=,1,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3BYfz0FhqWDwtjyGh-ACSA3xR_-XaZ0FxxSR7-ko8XXiE-OyhTY0hHQz2ZKIiYZhizivTa28EFTlJiXIC_nsqr0jw4U72XcK2hrqc-Cl4GMk=,"@orlandosilva Agora lava a boca ,acabou de CAGA",gAAAAABj7je3I-S3MjCu-DQvcYipaF22Be6U3ZUrXqPn9fD8R2TX8h97-7-CoUgVfpzKP6tA6crON4-TwTk-X_nrUvK2x7VMFHKuOXTnszxSrRrXns2X-3M67zcVDYidGJLfkSfw5mOjb-IRvi6fnVDgkRcbBvmGbwC4-h3QmgC7OtRV2_S9FcU=,1,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3m3kk7KXkYKkG9SbLysBCN8y-mq3zr3M4Ws4CIumMZmD6fpgpr3lowgtnl5Y5OBVzLGQid9-FXodUxcUAHHKxdwV_iNjQJu6zh3EDy0iXxSk=,@CamargoDireita Vc é a vergonha da raça! Lixo e mais nada! E vai voltar pro esgoto ratazana!,gAAAAABj7je3vDn-Cq9aRcfxlDoZ7ITjc7BE-eg-fzCcQ5gVdLngzrGc8nSw4eVtulbXci-gXZUb1Y0dTi6R6Bu9ww9VdGHJ4Nzo9VCkoo7rK3Fl4wWvy7XB133Ha_CsrX5QpSCV1lsL9nS7ErALguLCSvlsziC0Vg==,1,1,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je31TYze9P5T548fjO-IUMHOnWVbvflFp3btENCRW-9SBpY69WsdC05re6SGTJC2EkXupKGvPd5QIpio2sCbID_MGr0Un5Xzf2v-wf1s5Ap9Yc=,"@camara_sette @rubensmenin Bando de politiqueiro do inferno!!!

PAREM DE USAR MEU GALO!!!!",gAAAAABj7je3489e3fLItVfuc-z9-E0SrMq0LoZHg7qjYapIJrCArTdIvoPTuQdYAPEOCxamTaJQWFk0MIzRy6BDZddMboMJF-kUVt1-LPFVc7RJA7gPv5GFtru_QqPKOnc9XwlonMgGpltkoLOp9Qbe42OsaEuKFQ==,1,1,0,0,0,1,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3-1TJ7I558KDtmeQB7ndbP4znmsrE0IfUgikE37X-j-eOTG7hme3J_S3UVW744Q2jPwdECINhkIxQahxoaOOj0VLDWeYU_lhlsmYYjYHKHC4=,Minha deputada federal é @mariamarighella vamos galera! Baianas!,gAAAAABj7je3XY-fUCEMZpaBToDOFIkO_Dc8pVugE1M8pZ918zUHegH8npd2S9y8BxseNdORhwj5RheIS9gKQKzsBxgpx_4XZAczhe47NYFAlwkw7KJfJvNY6cgDNUL2TQ9-w-B89QW3VlhQly5ufHEZPKBtyOeRQg==,0,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
